,Unnamed: 0,categorie,charges_annuelles,copropriete_en_difficulte,date_de_construction,etage,mode_chauffage,nature_chauffage,nb_etages,nb_lots,postal_code,price,surface,Unnamed: 0,mode_chauffage,nb_chambres,nb_piece
0,0,Ancien,240 €,non,1890.0,7,Individuel,Electrique,7.0,23.0,paris-75010,"
                                                                            50 000 €
                                                                    ",7 m²,0,Individuel,1.0,1.0
1,1,Ancien,,non,1905.0,6,,,6.0,19.0,paris-75017,"
                                                                            57 000 €
                                                                    ",6 m²,1,,,1.0
2,2,Ancien,132 €,non,1800.0,6,Sans,,6.0,31.0,paris-75003,"
                                                                            60 000 €
                                                                    ",5.69 m²,2,Sans,1.0,1.0
3,3,,240 €,non,1900.0,6,Individuel,Gaz,6.0,28.0,paris-75012,"
                                                                            65 000 €
                                                                    ",7 m²,3,Individuel,1.0,1.0
4,4,Ancien,144 €,non,1900.0,7,Individuel,Electrique,7.0,50.0,paris-75017,"
                                                                            70 000 €
                                                                    ",7.8 m²,4,Individuel,,1.0
5,5,Ancien,492 €,non,1930.0,7,Individuel,Electrique,7.0,38.0,paris-75016,"
                                                                            77 000 €
                                                                    ",7.1 m²,5,Individuel,,1.0
6,6,Ancien,1020 €,non,1860.0,6,Collectif,Gaz,6.0,55.0,paris-75009,"
                                                                            97 000 €
                                                                    ",10.99 m²,6,Collectif,,1.0
7,7,Ancien,276 €,non,1894.0,6,Individuel,Electrique,6.0,32.0,paris-75016,"
                                                                            103 000 €
                                                                    ",8.48 m²,7,Individuel,,1.0
8,8,Ancien,240 €,non,1920.0,6,Individuel,Electrique,6.0,37.0,paris-75013,"
                                                                            105 000 €
                                                                    ",9 m²,8,Individuel,,1.0
9,9,Ancien,276 €,non,1930.0,6,Individuel,Electrique,6.0,20.0,paris-75016,"
                                                                            107 000 €
                                                                    ",8.13 m²,9,Individuel,,1.0
10,10,Ancien,300 €,non,,6,,,6.0,50.0,paris-75008,"
                                                                            108 000 €
                                                                    ",7.83 m²,10,,,1.0
11,11,Ancien,2352 €,non,1925.0,2,Collectif,Urbain,6.0,28.0,paris-75013,"
                                                                            118 000 €
                                                                    ",39 m²,11,Collectif,1.0,2.0
12,12,Ancien,360 €,non,1960.0,2,Individuel,Gaz,9.0,29.0,paris-75016,"
                                                                            129 000 €
                                                                    ",12 m²,12,Individuel,,1.0
13,13,Ancien,120 €,non,1930.0,RDC,Individuel,Electrique,7.0,1.0,paris-75016,"
                                                                            129 000 €
                                                                    ",12 m²,13,Individuel,,1.0
14,14,Ancien,888 €,non,1999.0,RDC,,,,,paris-75012,"
                                                                            140 000 €
                                                                    ",18 m²,14,,,1.0
15,15,Ancien,888 €,non,,RDC,,,,,paris-75012,"
                                                                            140 000 €
                                                                    ",18 m²,15,,,1.0
16,16,Ancien,72 €,non,1951.0,1,Individuel,Electrique,9.0,45.0,paris-75008,"
                                                                            150 500 €
                                                                    ",9.7 m²,16,Individuel,,1.0
17,17,Récent,,non,1980.0,1,,,6.0,30.0,paris-75017,"
                                                                            160 000 €
                                                                    ",15 m²,17,,1.0,1.0
18,18,Ancien,600 €,non,1900.0,4,Individuel,Electrique,5.0,20.0,paris-75015,"
                                                                            172 000 €
                                                                    ",18 m²,18,Individuel,,1.0
19,19,Ancien,996 €,non,,3,Individuel,Electrique,4.0,9.0,paris-75014,"
                                                                            175 000 €
                                                                    ",22.06 m²,19,Individuel,1.0,1.0
20,20,Ancien,960 €,non,1930.0,7,Individuel,Electrique,7.0,2.0,paris-75016,"
                                                                            176 000 €
                                                                    ",16.5 m²,20,Individuel,1.0,2.0
21,21,Ancien,948 €,non,1974.0,RDC,Collectif,Urbain,9.0,388.0,paris-75015,"
                                                                            179 500 €
                                                                    ",19 m²,21,Collectif,1.0,1.0
22,22,Récent,1296 €,non,1980.0,RDC,,,6.0,56.0,paris-75017,"
                                                                            190 000 €
                                                                    ",19 m²,22,,1.0,1.0
23,23,Récent,888 €,non,1991.0,RDC,Individuel,,7.0,93.0,paris-75019,"
                                                                            190 000 €
                                                                    ",26 m²,23,Individuel,,1.0
24,24,Ancien,1896 €,non,1930.0,RDC,Individuel,Electrique,5.0,6.0,paris-75014,"
                                                                            206 000 €
                                                                    ",25 m²,24,Individuel,,3.0
25,25,Sur plan,864 €,non,1900.0,4,Individuel,Electrique,6.0,37.0,paris-75011,"
                                                                            235 000 €
                                                                    ",22 m²,25,Individuel,,1.0
26,26,Récent,804 €,non,2010.0,1,Individuel,Electrique,5.0,150.0,paris-75020,"
                                                                            235 000 €
                                                                    ",27 m²,26,Individuel,,1.0
27,27,Ancien,1764 €,non,1800.0,2,Individuel,Gaz,3.0,43.0,paris-75004,"
                                                                            239 000 €
                                                                    ",64.75 m²,27,Individuel,1.0,3.0
